Time course #,timecourse2,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
YHL007C,1.0,0.790176491,0.251493149,0.248863898,0.228984598,0.262708009,0.286767942,0.282038562,0.282038562
YMR237W,1.0,1.060413464,0.578938891,0.722659096,0.719831297,0.635338761,0.421877477,0.395369683,0.395369683
YNL327W,1.0,0.510106418,0.137200938,-0.003279069,0.036010153499999996,0.075299376,-0.020851994,0.007442353,0.007442353
YGL210W,1.0,0.943104258,0.406170544,0.13960431,0.1158432915,0.092082273,0.27322725,0.119710273,0.119710273
YGR147C,1.0,0.652988499,0.188594246,0.1905926192,0.1925909924,0.1945893656,0.1965877388,0.198586112,0.198586112
YOR127W,1.0,0.745324816,0.186415116,0.25123668099999996,0.316058246,0.28441969933333333,0.2527811526666667,0.221142606,0.221142606
YHR022C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YLR126C,1.0,0.645997461,0.173898951,0.314465871,0.42549043466666664,0.5365149983333333,0.647539562,0.647539562,0.647539562
YJL020C,1.0,0.824529461,0.68255125,0.86224402,0.662342044,0.542692898,0.423043752,0.673977188,0.673977188
YKR089C,1.0,0.898055712,0.528320711,0.726300348,0.743736457,0.761172566,0.455602103,0.425907588,0.425907588
YOR325W,1.0,0.639572945,0.482949842,0.562924632,0.663529906,0.76413518,0.5951905075,0.426245835,0.426245835
YKR018C,1.0,1.106574456,0.596098205,0.806839442,0.627945523,0.895299363,0.460933251,0.455946657,0.619972552
YNL054W,1.0,0.930218954,0.873573304,1.064039639,0.610119902,0.514604199,0.709373337,0.51884424,0.51884424
YIL089W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YGR064W,1.0,0.635486909,0.292677491,0.226285603,0.267720116,0.301097896,0.393669008,0.275855414,0.275855414
YBR247C,1.0,0.667032012,0.152220983,0.1276695708,0.10311815860000001,0.0785667464,0.0540153342,0.029463922,0.029463922
YPR039W,1.0,0.912604167,0.373753693,0.200631594,0.223912429,0.247193264,0.325709467,0.382278371,0.382278371
YPL099C,1.0,0.671532826,0.405138392,0.795337829,0.608887174,0.551334063,0.493780952,0.436227841,0.436227841
YBR092C,1.0,0.755201717,0.259667966,0.117296761,0.207801061,0.172823407,0.063750104,0.101020208,0.166400753
YNL313C,1.0,0.78671,0.122715991,0.091381176,0.286302358,0.160729123,0.100791755,0.120312889,0.120312889
YDR409W,1.0,1.111606562,0.652843399,0.63897396,0.5533843574999999,0.467794755,0.836020144,0.664337921,0.664337921
YML014W,1.0,0.736239578,0.70236908,0.29780846,0.322691344,0.347574228,0.331011025,0.476235475,0.476235475
YIL145C,1.0,0.982677778,0.354528773,0.112993179,0.112993179,0.112993179,0.112993179,0.112993179,0.112993179
YDR244W,1.0,1.003802438,0.595511226,0.806787786,0.7416583015,0.676528817,0.785167491,0.506092372,0.506092372
YOL101C,1.0,0.79745327,0.721093801,0.721093801,0.721093801,0.721093801,0.721093801,0.721093801,0.721093801
YER139C,1.0,0.51657538,0.400318204,0.635382099,0.374558606,0.69875907,0.69875907,0.69875907,0.69875907
YCR001W,1.0,0.8766854305,0.753370861,0.6653009023333333,0.5772309436666666,0.489160985,0.489160985,0.489160985,0.489160985
YKL069W,1.0,1.123401946,0.48713082,0.355029752,0.560441264,0.162032729,0.162032729,0.162032729,0.162032729
YOL070C,1.0,1.015291895,0.379065057,0.321378635,0.224857079,0.166348518,0.126073257,0.115435307,0.115435307
YPL084W,1.0,0.926991005,0.7690733125,0.61115562,0.557012213,0.724151876,0.533911594,0.492983307,0.492983307
YAL048C,1.0,0.913962839,0.572341128,0.532821482,0.657445276,0.78206907,0.948837856,0.845056316,0.845056316
YGL099W,1.0,0.902135273,0.342654453,0.194966822,0.13254518,0.119495209,0.080826141,0.053590397,0.053590397
YPL047W,1.0,0.477835769,0.46425589300000003,0.450676017,0.823132965,0.605508893,0.610385592,0.610385592,0.610385592
YJL074C,1.0,0.788752741,0.497202779,0.51344881,0.478443164,0.443437518,0.408431872,0.358335562,0.358335562
YLR080W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YDL176W,1.0,0.825027858,0.8560699813333333,0.8871121046666667,0.918154228,0.918154228,0.918154228,0.918154228,0.918154228
YDL167C,1.0,0.414029016,0.140600274,0.132866571,0.10535436,0.04655573,0.172562529,0.177063104,0.177063104
YDR248C,1.0,0.724348579,0.601058666,0.68064255,0.840453208,0.55393743,0.967819439,0.568972138,0.568972138
YGR044C,1.0,0.745346527,0.282640201,0.208593244,0.290594959,0.193567341,0.326749606,0.086270026,0.351470304
YNR020C,1.0,0.71921137,0.369625197,0.298812324,0.563865775,0.241330943,0.404777574,0.439976845,0.439976845
