Gene,Half-life_TC1,Half-life_TC2,Half-life_TC3,Average_Half_Life
YNL165W,37.50857013623452,1.6961268502606597,39.75248205581154,26.319059680768905
YGR067C,39.3656295517204,90.60718353277966,94.68479422516516,74.88586910322174
YDR171W,165.83326020739986,,,165.83326020739986
YDR130C,33.585118480724425,30.04089000353942,8.599894725455602,24.075301069906484
YER040W,17.361371567862964,,12.840248378112951,15.100809972987957
YOL152W,23.036696498927533,,42.46574495669249,32.75122072781001
YIL001W,166.37621129203205,30.498822702475028,75.91471823162499,90.9299174087107
YBL108W,58.03951655162324,2.159596434954168,,30.099556493288702
YIL107C,180.14811091566085,158.80653068999243,135.2730794129379,158.07590700619707
YLR037C,31.308856605981333,48.5979960423344,49.162737557591385,43.02319673530237
YHR011W,46.87313960432135,,21.808552233437997,34.34084591887967
YKL124W,35.55323135325609,,25.23507780483824,30.394154579047164
YCR100C,21.904033651669245,86.5634484436036,16.829314158916052,41.765598751396304
YHR160C,23.768451246688976,108.35109163487218,72.08787021484027,68.06913769880047
YCR040W,10.73620775459246,7.473437951209617,6.866910214240064,8.358851973347381
YLR152C,26.91387565107965,,60.14999969146378,43.53193767127172
YCR048W,32.08082392656315,121.03386020168672,9.16412742254049,54.092937183596796
YIR039C,35.27125812429026,,214.7552738149645,125.01326596962738
YKL187C,1081.5488711559085,-190.92294627587052,55.579037481244455,315.40165412042745
YDR287W,41.06687950914336,19.48817595972535,38.5839057360152,33.04632040162797
YHL037C,57.90054594436546,21.397397278986933,31.58196576188043,36.959969661744275
YJL214W,63.51001742828475,142.45363651522058,61.7708822479629,89.24484539715608
YER059W,17.359517253005862,35.427925299604034,16.395934165835385,23.061125572815097
YPL209C,18.60265986099322,,9.881443367801785,14.242051614397504
YIL028W,22.449502037644976,255.10690449472784,21.51850468125363,99.69163707120883
YFL029C,37.607981971803554,179.225786996788,11.152475036971964,75.99541466852118
YDR125C,89.442213622857,-232.7692405765608,69.57016715606716,-24.58561993254555
YGR058W,17.348781945394993,,16.47671028524373,16.91274611531936
YBR235W,12.739899775926936,6.628814186529465,9.165486835933567,9.51140026612999
YBR134W,42.29092756105492,14.051475652635988,18.14225715838193,24.82822012402428
YDL244W,17.234307175602083,50.4496001886834,30.36525629187795,32.68305455205448
YJR128W,18.83803579872501,24.344526029512306,15.83812310960928,19.673561645948862
YKL218C,24.376582009320867,24.490879877373157,10.613839886877926,19.82710059119065
YLR030W,25.31169949338495,88.01023316822538,39.1067634410654,50.80956536755858
YIL007C,61.1763546951942,34.09830897365718,19.588406395864595,38.287690021572
YKR015C,42.27669363748622,-10682.179084030193,44.31355371044288,-3531.8629455607547
YAR033W,2.67482357249942,81.15795164658005,19.446122949965293,34.42629938968159
YFR030W,11.817105128686574,33.4605587402794,31.83856240846406,25.705408759143342
YGL248W,21.89850297609972,7.3804401913354365,6.043408450934384,11.774117206123181
YCL016C,15.31164945059786,6.109626161800034,9.184706957201442,10.201994189866445
YJL195C,26.17062128551857,,33.99266786740328,30.081644576460924
YMR081C,34.85963752070555,,45.63734270965671,40.24849011518113
YLR156W,63.60011214447084,31.986140824215628,,47.79312648434323
