Gene,Half-life_TC1,Half-life_TC2,Half-life_TC3,Average_Half_Life
YDL026W,,98.1961646900063,39.04966297149297,68.62291383074964
YAL048C,53.7812723675052,118.57265063682487,33.544321366273365,68.63274812353448
YHR180W,46.55069438970099,91.60877648143789,67.7746468696215,68.64470591358679
YLR012C,51.85883666456534,84.9884386106348,69.27344445834447,68.7069065778482
YKR101W,83.19997676819784,116.2294104931208,6.924691832555959,68.78469303129154
YKL037W,20.64057889416348,119.34458496091403,66.85231081438778,68.94582488982176
YLR296W,56.33800403473612,115.23329988360716,35.34093478992541,68.97074623608957
YMR255W,48.75226616678805,127.59761385902732,30.600986976739293,68.98362233418489
YDL012C,173.12425018214643,24.4364879529441,9.42175560868481,68.99416458125845
YNL237W,22.641757029961244,150.71784048601964,34.36922994834035,69.24294248810708
YPL257W,17.58891171398226,,120.96554398848646,69.27722785123436
YIR018W,112.11264622878612,,26.4740077027091,69.29332696574761
YBR118W,30.886937198858423,66.59201766992969,110.42854451320008,69.30249979399606
YOL164W,34.77888900536927,153.04318531907305,20.118100255711884,69.31339152671806
YPR027C,37.95187398024133,125.55637107885896,44.58656656854201,69.36493720921409
YKL052C,176.42272009995287,7.435644942182945,24.551307683010663,69.46989090838215
YJR112W,24.33342375588548,167.37541952184148,17.067492520395163,69.59211193270738
YNL193W,92.7413838094357,101.11932588140527,14.950275361361632,69.60366168406753
YNR075W,117.56765173697244,,21.66947947559501,69.61856560628372
YBR040W,112.17654825728812,43.39327693465621,53.52439025153031,69.69807181449154
YNL338W,131.34623696718387,34.542835950922026,43.6235241368541,69.83753235165334
YLR329W,43.379038840293006,,96.33784204783755,69.85844044406528
YLR164W,52.01864981781278,113.75081991713668,43.91716613180453,69.895545288918
YCL027W,145.5500364612469,39.7853271669866,25.01397707835968,70.11644690219772
YJL052W,45.39505189746566,99.04743686255458,66.08363359626821,70.17537411876282
YDR019C,68.86165964813021,112.49655654476544,29.228023158310773,70.19541311706881
YDR281C,82.97252902294598,57.49353239840536,,70.23303071067566
YER175C,91.43532227433856,93.21492545746302,26.10941052694117,70.25321941958092
YHR055C,38.79659329875641,88.05775185229808,83.97582632424168,70.27672382509873
YKL136W,53.25051881804999,87.93266277087761,69.64868656162766,70.27728938351841
YGL194C,30.981914062625325,150.07939204245287,30.4301083507151,70.4971381519311
YMR078C,,133.04377647648536,8.012602043075463,70.52818925978042
YDL023C,79.75306754583713,424.5559031532108,-292.6125187248512,70.56548399139889
YNL014W,89.4385869335002,67.56938424283565,54.79370388732142,70.60055835455242
YDR254W,126.23549004821356,50.02652345771538,35.58245519909584,70.61482290167493
Q0110,45.06268048522031,85.98111809179277,80.81363412476566,70.61914423392625
YPL054W,24.201414773747977,122.22676422695928,66.37745637912128,70.93521179327617
YJR066W,42.17990554130259,129.2628874391589,41.473002450768014,70.97193181040983
YOR015W,85.91649505192069,47.618412775881104,79.65323078254768,71.0627128701165
YCL026C-A,35.83462217496572,11.901162932127276,165.50598063539505,71.08058858082934
YKL104C,,99.78870239564534,42.53999339856939,71.16434789710738
YDR085C,61.98827753493087,121.98776433992109,29.609703732572463,71.19524853580813
YPR083W,72.43262654172251,123.00659710658158,18.267597674223182,71.2356071075091
YHR105W,23.030997950849148,123.20644254612937,67.95201564079916,71.39648537925922
YKL107W,104.48802980833464,44.56835174411244,65.3421222826038,71.46616794501695
YBR139W,91.06255202030052,73.80225848250046,49.54835211614924,71.47105420631674
YPR098C,46.50299668500352,134.828902893478,33.093614942094334,71.47517150685862
YDR263C,55.71984396565259,133.75940609403685,24.975065243767585,71.484771767819
YIL101C,44.03506365419248,120.05567314219148,50.51547483798701,71.53540387812366
YJL144W,53.19254861461545,,89.96881834532853,71.58068347997198
YOL136C,49.8194270241717,151.88834175609188,13.082558815940397,71.59677586540131
YGL195W,40.335425563903634,140.47359467820257,34.0245312431688,71.61118382842501
YNL146W,38.21444341830934,145.81837339452437,30.86921780936291,71.6340115407322
YKL142W,95.58471049075123,55.15838353912763,64.29452860391282,71.67920754459723
YBL043W,38.299983493369005,155.86247154941762,21.672730222901656,71.94506175522943
YMR290W-A,19.50955448440187,159.76944833839934,36.59317619336064,71.95739300538729
YCL018W,103.82191933419264,70.67712146036736,41.52921218475592,72.00941765977198
YDL057W,57.901941924467394,,86.12730176651944,72.01462184549342
YFL051C,112.88875900018716,,31.16679061363857,72.02777480691287
YJL080C,34.99929918324096,144.3186455399368,37.17139285796803,72.1631125270486
YKL096W,37.036320825420205,113.25378564125468,66.41229613656472,72.23413420107987
YML078W,42.894995154106496,55.29542444483501,118.51271737890492,72.23437899261548
YHR053C,43.485853941135545,74.40078207153208,98.8812204241948,72.25595214562081
YOL087C,101.60347274719572,77.39737559305286,37.9072171385514,72.30268849293333
YMR075C-A,125.06897998723218,63.31139573104722,29.121400333195684,72.50059201715835
YBR025C,,,72.58639959783484,72.58639959783484
YDR416W,189.3220490035102,7.94499922045854,20.495008720820405,72.5873523149297
YOL032W,72.74156109516461,,,72.74156109516461
YER160C,54.95661642437776,119.90739489662964,43.47047976917048,72.77816369672597
YIL029C,16.06227651136998,164.6723677307537,37.94450759954455,72.89305061388941
YOR308C,5.882968907771625,200.01816031678305,12.897022345521965,72.93271719002554
YEL006W,134.04037940430996,51.1795450079816,33.669764086120594,72.96322949947073
YOR019W,102.03478110823092,,44.03611721266639,73.03544916044865
YAR031W,25.989184797006505,176.87460951066507,16.501993534488427,73.12192928072001
YLR352W,69.57243107027823,99.0879951911991,50.85585168716836,73.17209264954856
YPL095C,33.18417797642837,169.15806476423236,17.24700186065159,73.19641486710411
YIL032C,33.74407583890008,,112.81384103527516,73.27895843708762
YBR277C,17.41039931379631,184.4690470885413,18.00778845284173,73.29574495172646
YIL073C,26.559091046676617,143.2374983782235,50.35016840690056,73.38225261060023
YMR177W,12.594327900733434,192.53977665215348,15.648592661355764,73.59423240474756
YFL060C,68.8445108587705,,78.49138326285252,73.66794706081151
YBR098W,56.22126524885682,99.33862218351815,66.06325154713556,73.87437965983685
YDR043C,,,73.96713977083232,73.96713977083232
YGL249W,56.40491574220055,,91.59182320199535,73.99836947209795
YGR059W,27.364252733152423,28.301298790097142,166.41601093281247,74.02718748535402
YDR445C,43.981567018998575,141.0257495215695,37.09041718471165,74.03257790842657
YCR063W,26.242366726409777,160.64903249910003,35.48962497633349,74.1270080672811
YHR047C,33.49675249332709,116.15267058601198,73.98156565190986,74.5436629104163
