"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of chromatin","GO:0030527","true","0.002933724951361577","2.5325806054570537","11","599","7","6539","YBR010W,YNL030W,YNL031C,YDR225W,YBR009C,YDR224C,YBL003C"
"GO:MF","binding","GO:0005488","false","0.002971452032195837","2.527031276114438","3827","599","399","6539","YNL191W,YBR228W,YMR186W,YBR072W,YBR126C,YPL281C,YHL021C,YOR120W,YMR174C,YKL018W,YIR025W,YJL206C,YPL272C,YHR079C,YMR136W,YGR179C,YJL089W,YDL190C,YKL011C,YOR027W,YPL161C,YDR153C,YPL106C,YHR079C-A,YMR323W,YBR169C,YGR142W,YOR393W,YBL075C,YNL009W,YLR445W,YMR104C,YKL108W,YNR004W,YGR249W,YPR068C,YMR304W,YJL048C,YPR164W,YDL105W,YER098W,YJL042W,YLR205C,YPR160W,YLR045C,YDR402C,YDR258C,YOR178C,YOL001W,YDR074W,YML054C,YDR097C,YPL166W,YDR531W,YGR010W,YKL109W,YDR259C,YGL081W,YBL098W,YOR028C,YPR141C,YJL204C,YPR193C,YDR066C,YCR036W,YNL160W,YKR023W,YHL024W,YJL030W,YDR126W,YDR446W,YGL125W,YOR344C,YJL047C,YPL174C,YLR165C,YPL200W,YPL123C,YJL013C,YIR013C,YML104C,YDR201W,YNL036W,YAL015C,YHR218W,YNL188W,YLR258W,YDR280W,YBL111C,YPR204W,YOR106W,YLL066C,YLR467W,YDR088C,YKL113C,YFL066C,YGR074W,YGL212W,YBR172C,YHL038C,YBR154C,YHR054C,YBR200W,YBR158W,YDR399W,YDR197W,YOR310C,YDL225W,YDR362C,YLR197W,YFR034C,YOL018C,YHR084W,YJL225C,YPL029W,YBL016W,YMR017W,YOL069W,YPL256C,YPR187W,YLR103C,YIL061C,YLR332W,YNL232W,YGR080W,YPR034W,YDL167C,YMR270C,YLR440C,YPL255W,YDL111C,YGL078C,YLR175W,YBR010W,YPR120C,YDL207W,YDR156W,YEL077C,YHR170W,YKR024C,YDR369C,YMR167W,YDR496C,YER112W,YNL030W,YOL021C,YBR060C,YCL030C,YNL329C,YER190W,YBR202W,YOR056C,YHR069C,YNL031C,YIR008C,YDL017W,YNL317W,YIL177C,YDL070W,YDR225W,YDR449C,YDL131W,YOR145C,YJL122W,YDL208W,YKL178C,YGR103W,YGR056W,YLR026C,YCL032W,YML088W,YBR009C,YDR073W,YDL178W,YMR125W,YLL004W,YDR224C,YCL054W,YMR275C,YNL248C,YCR057C,YNL306W,YCL067C,YOR243C,YBR155W,YGL112C,YLR319C,YOL077C,YPR190C,YKL004W,YJR005W,YER107C,YNL313C,YDL182W,YDL201W,YLR009W,YLR057W,YER159C,YBL003C,YMR263W,YML031W,YHR127W,YHR089C,YJR070C,YPR143W,YGL071W,YBR215W,YER070W,YDL074C,YBR254C,YKL156W,YAR018C,YDL013W,YMR285C,YFR028C,YBR278W,YHL050C,YCR106W,YFL023W,YLR401C,YAL041W,YOR212W,YGR005C,YGR119C,YNL082W,YML093W,YGR009C,YKL021C,YJL194W,YNL061W,YLR382C,YBR031W,YOR340C,YMR033W,YPL141C,YMR239C,YDR188W,YKL009W,YOR206W,YPR125W,YHR143W-A,YPR163C,YKL082C,YLR147C,YDR299W,YLR355C,YOR232W,YJR076C,YDL014W,YDR012W,YBL035C,YPR119W,YML102W,YOR233W,YFR004W,YMR055C,YGR078C,YNL282W,YCR096C,YOL125W,YDR121W,YOR039W,YNR054C,YIL002C,YKL122C,YOL149W,YPR110C,YFL061W,YOR201C,YOR063W,YIL047C,YJL083W,YMR282C,YJL014W,YNL124W,YML115C,YML092C,YCL024W,YBR049C,YCR065W,YDR297W,YHR135C,YDR429C,YDR267C,YCR040W,YPL187W,YML080W,YDR470C,YJR069C,YPL043W,YJR068W,YPR051W,YGL100W,YGR047C,YNL186W,YBL068W,YNL154C,YDR419W,YCL031C,YPL243W,YDR346C,YNR046W,YBL032W,YMR039C,YBL039C,YGL083W,YDR441C,YNL004W,YNL002C,YIL021W,YNL113W,YLR141W,YKL173W,YBL024W,YPR169W,YPR145W,YBR133C,YPL128C,YLR292C,YNL153C,YLR180W,YDR120C,YNL255C,YDR113C,YGR159C,YDR463W,YKL068W,YOR370C,YOL006C,YPL146C,YNL238W,YIL142W,YNL315C,YER055C,YJR147W,YHR072W,YJR007W,YGR162W,YHR088W,YNL231C,YOR327C,YOL115W,YLR399C,YOR167C,YNR017W,YCR094W,YCL005W,YGL213C,YLR079W,YHR081W,YBR195C,YOL093W,YOL010W,YOR001W,YBR267W,YKL170W,YHR066W,YNL110C,YLR357W,YPL086C,YOR281C,YDR146C,YCR051W,YLR320W,YPR041W,YNL180C,YML121W,YGR128C,YER025W,YER017C,YLR200W,YDR047W,YDR365C,YGL099W,YDR167W,YLR321C,YDR466W,YPL050C,YEL032W,YNL090W,YBR110W,YLR056W,YOR004W,YNL121C,YPL204W,YPR137W,YHR005C-A,YCR092C,YLL027W,YDR194C,YPL082C,YBR055C,YDL031W,YHR205W,YGL116W,YCL055W,YDR045C,YBR153W,YPL183C"
"GO:MF","protein binding","GO:0005515","false","0.005260878945601918","2.278941691333796","2604","599","286","6539","YNL191W,YBR228W,YMR186W,YBR072W,YBR126C,YMR174C,YKL018W,YIR025W,YPL272C,YHR079C,YGR179C,YDL190C,YOR027W,YPL161C,YDR153C,YPL106C,YHR079C-A,YBR169C,YGR142W,YBL075C,YLR445W,YKL108W,YNR004W,YMR304W,YJL048C,YPR164W,YDL105W,YJL042W,YPR160W,YLR045C,YDR258C,YOR178C,YOL001W,YDR074W,YDR097C,YPL166W,YGR010W,YKL109W,YGL081W,YOR028C,YPR141C,YJL204C,YPR193C,YDR066C,YNL160W,YKR023W,YJL030W,YDR446W,YGL125W,YOR344C,YJL047C,YPL174C,YPL200W,YJL013C,YDR201W,YNL188W,YLR258W,YDR280W,YOR106W,YKL113C,YGL212W,YBR172C,YBR154C,YBR200W,YBR158W,YOR310C,YDL225W,YDR362C,YLR197W,YFR034C,YOL018C,YHR084W,YBL016W,YMR017W,YOL069W,YPL256C,YLR103C,YIL061C,YLR332W,YNL232W,YGR080W,YPR034W,YMR270C,YLR440C,YPL255W,YDL111C,YLR175W,YBR010W,YPR120C,YDL207W,YDR156W,YDR369C,YMR167W,YDR496C,YER112W,YNL030W,YOL021C,YBR060C,YCL030C,YNL329C,YBR202W,YHR069C,YNL031C,YDL017W,YNL317W,YDL070W,YDR225W,YDR449C,YOR145C,YJL122W,YDL208W,YKL178C,YGR103W,YGR056W,YLR026C,YCL032W,YML088W,YBR009C,YDR073W,YDL178W,YMR125W,YLL004W,YDR224C,YCL054W,YMR275C,YCR057C,YCL067C,YBR155W,YGL112C,YLR319C,YOL077C,YPR190C,YKL004W,YJR005W,YER107C,YNL313C,YDL201W,YLR009W,YER159C,YBL003C,YMR263W,YML031W,YHR089C,YJR070C,YPR143W,YGL071W,YBR215W,YER070W,YDL074C,YBR254C,YDL013W,YFR028C,YBR278W,YFL023W,YAL041W,YOR212W,YGR005C,YGR119C,YNL082W,YGR009C,YKL021C,YJL194W,YNL061W,YOR340C,YMR033W,YMR239C,YDR188W,YOR206W,YKL082C,YLR147C,YDR299W,YOR232W,YJR076C,YDL014W,YBL035C,YPR119W,YML102W,YFR004W,YMR055C,YGR078C,YNL282W,YDR121W,YOR039W,YNR054C,YIL002C,YKL122C,YOL149W,YPR110C,YOR063W,YJL083W,YJL014W,YNL124W,YML115C,YML092C,YCL024W,YHR135C,YDR429C,YDR267C,YCR040W,YPL187W,YML080W,YDR470C,YPL043W,YJR068W,YPR051W,YGL100W,YGR047C,YBL068W,YNL154C,YDR419W,YCL031C,YNR046W,YMR039C,YBL039C,YNL002C,YIL021W,YNL113W,YKL173W,YPR169W,YPR145W,YBR133C,YPL128C,YLR292C,YNL153C,YLR180W,YNL255C,YDR113C,YKL068W,YOR370C,YPL146C,YNL238W,YIL142W,YNL315C,YHR072W,YJR007W,YGR162W,YHR088W,YNL231C,YOR327C,YOL115W,YLR399C,YNR017W,YCR094W,YCL005W,YGL213C,YLR079W,YBR195C,YOL010W,YOR001W,YBR267W,YHR066W,YNL110C,YLR357W,YPL086C,YOR281C,YCR051W,YLR320W,YPR041W,YNL180C,YML121W,YGR128C,YER025W,YER017C,YLR200W,YDR047W,YDR365C,YGL099W,YDR167W,YLR321C,YDR466W,YPL050C,YEL032W,YNL090W,YBR110W,YLR056W,YNL121C,YPL204W,YPR137W,YHR005C-A,YCR092C,YLL027W,YPL082C,YBR055C,YDL031W,YGL116W,YPL183C"
"GO:MF","catalytic activity, acting on RNA","GO:0140098","false","0.007346309026388065","2.133930806778598","258","599","44","6539","YHR079C,YLR165C,YPL123C,YDR088C,YBR154C,YPL029W,YPR187W,YJL148W,YGL078C,YDR156W,YKR024C,YOL021C,YOR056C,YIR008C,YCL054W,YNL248C,YOR243C,YPR190C,YDL201W,YMR285C,YLR401C,YNL061W,YLR382C,YOR340C,YMR239C,YHR143W-A,YDL014W,YNL282W,YOL125W,YDR083W,YPR110C,YOR201C,YML080W,YNR046W,YIL021W,YNL113W,YBL024W,YOL115W,YOL093W,YOL010W,YOR001W,YDR194C,YDL031W,YDR045C"
"GO:MF","nucleotidyltransferase activity","GO:0016779","false","0.04415040234605717","1.3550653343089212","85","599","19","6539","YGR010W,YBR154C,YPR187W,YJL148W,YDR156W,YIR008C,YNL248C,YPR190C,YBR278W,YOR340C,YHR143W-A,YBL035C,YDR121W,YPR110C,YDR419W,YIL021W,YNL113W,YOL115W,YDR045C"
"GO:BP","rRNA metabolic process","GO:0016072","true","7.252706836295917e-13","12.139499876922942","360","597","82","6518","YPR164W,YJL047C,YLR165C,YDR280W,YBR154C,YOR310C,YDR362C,YLR197W,YPR187W,YNL232W,YMR270C,YJL148W,YDL111C,YGL078C,YLR175W,YBR010W,YDR156W,YKR024C,YER112W,YNL030W,YOL021C,YOR056C,YHR069C,YNL031C,YDR449C,YOR145C,YDL208W,YGR103W,YBR009C,YCL054W,YNL248C,YCR057C,YNL306W,YOR243C,YOL077C,YHR089C,YPR143W,YKL156W,YMR285C,YML093W,YNL061W,YOR340C,YMR239C,YER002W,YKL009W,YHR143W-A,YKL082C,YDR299W,YDL014W,YNL282W,YOR039W,YNR054C,YDR083W,YPR110C,YOR201C,YOR063W,YNL124W,YPL043W,YGR047C,YCL031C,YNR046W,YNL002C,YNL113W,YLR141W,YPR169W,YGR159C,YOL006C,YPL146C,YHR088W,YOL115W,YOR167C,YHR081W,YOL010W,YOR001W,YHR066W,YNL110C,YGR128C,YDR365C,YOR004W,YPR137W,YPL082C,YDL031W"
"GO:BP","ncRNA metabolic process","GO:0034660","false","5.39026645863677e-11","10.268389765674986","543","597","103","6518","YKL018W,YLR091W,YNR004W,YPR164W,YJL047C,YLR165C,YDR280W,YBR154C,YOR310C,YDR362C,YLR197W,YPR187W,YNL232W,YMR270C,YJL148W,YDL111C,YGL078C,YLR175W,YBR010W,YDR156W,YKR024C,YER112W,YNL030W,YOL021C,YOR056C,YHR069C,YNL031C,YDR449C,YOR145C,YDL208W,YGR103W,YBR009C,YMR125W,YCL054W,YNL248C,YCR057C,YNL306W,YOR243C,YOL077C,YPR190C,YDL201W,YHR089C,YPR143W,YKL156W,YMR285C,YLR401C,YML093W,YNL061W,YLR382C,YOR340C,YMR239C,YER002W,YKL009W,YHR143W-A,YKL082C,YDR299W,YDL014W,YNL282W,YOL125W,YOR039W,YNR054C,YDR083W,YPR110C,YOR201C,YOR063W,YNL124W,YDR267C,YML080W,YPL043W,YGR047C,YCL031C,YNR046W,YNL002C,YNL113W,YLR141W,YBL024W,YPR169W,YPL128C,YDR120C,YGR159C,YDR463W,YOL006C,YPL146C,YHR088W,YOL115W,YLR399C,YOR167C,YHR081W,YOL093W,YOL010W,YOR001W,YHR066W,YNL110C,YPL086C,YGR128C,YDR365C,YOR004W,YPL204W,YPR137W,YPL082C,YDL031W,YDR045C,YPL183C"
"GO:BP","ribosome biogenesis","GO:0042254","false","1.2210863996870472e-8","7.9132536058505325","418","597","81","6518","YLR165C,YDR280W,YBR154C,YOR310C,YLR197W,YPR187W,YNL232W,YJL148W,YDL111C,YGL078C,YLR175W,YDR156W,YHR170W,YKR024C,YDR496C,YER112W,YOL021C,YOR056C,YHR069C,YDR449C,YOR145C,YJL122W,YDL208W,YGR103W,YCL054W,YNL248C,YCR057C,YNL306W,YOR243C,YOL077C,YLR009W,YHR089C,YPR143W,YKL156W,YMR285C,YML093W,YNL061W,YOR340C,YMR239C,YER002W,YKL009W,YOR206W,YHR143W-A,YKL082C,YDR299W,YDR361C,YDL014W,YNL282W,YOR039W,YNR054C,YDR083W,YPR110C,YOR201C,YOR063W,YNL124W,YPL043W,YCL031C,YNR046W,YNL002C,YNL113W,YPR169W,YGR159C,YPL146C,YGR162W,YHR088W,YOR167C,YHR081W,YOL010W,YOR001W,YBR267W,YHR066W,YNL110C,YPR041W,YGR128C,YDR365C,YGL099W,YOR004W,YPL204W,YPR137W,YPL082C,YDL031W"
"GO:BP","ribonucleoprotein complex biogenesis","GO:0022613","false","2.865807381972709e-8","7.542753002967832","510","597","92","6518","YMR186W,YLR165C,YDR280W,YDR088C,YGR074W,YBR154C,YOR310C,YLR197W,YPR187W,YNL232W,YJL148W,YDL111C,YGL078C,YLR175W,YDR156W,YHR170W,YKR024C,YDR496C,YER112W,YOL021C,YOR056C,YHR069C,YDR449C,YOR145C,YJL122W,YDL208W,YGR103W,YCL054W,YNL248C,YCR057C,YNL306W,YOR243C,YOL077C,YLR009W,YHR089C,YPR143W,YKL156W,YMR285C,YFL023W,YML093W,YNL061W,YOR340C,YMR239C,YER002W,YKL009W,YOR206W,YHR143W-A,YPR163C,YKL082C,YLR147C,YDR299W,YDR361C,YDL014W,YNL282W,YOR039W,YNR054C,YDR083W,YPR110C,YOR201C,YOR063W,YNL124W,YDR429C,YPL043W,YCL031C,YNR046W,YNL002C,YNL113W,YKL173W,YPR169W,YGR159C,YPL146C,YJR007W,YGR162W,YHR088W,YOR167C,YHR081W,YOL010W,YOR001W,YBR267W,YHR066W,YNL110C,YPR041W,YGR128C,YER025W,YDR365C,YGL099W,YOR004W,YPL204W,YPR137W,YPL082C,YBR055C,YDL031W"
"GO:BP","nucleic acid metabolic process","GO:0090304","false","1.1109973802280612e-7","6.954286965139995","1693","597","222","6518","YBR228W,YMR186W,YDR317W,YKL018W,YIR025W,YJL206C,YMR112C,YHR079C,YMR136W,YJL089W,YKL011C,YLR091W,YHR079C-A,YLR445W,YKL108W,YNR004W,YGR249W,YPR068C,YPR164W,YDL105W,YMR173W,YOL001W,YDR097C,YKL109W,YDR259C,YOR028C,YDR066C,YKR023W,YHL024W,YAL011W,YDR446W,YOR344C,YJL047C,YLR165C,YPL200W,YPL123C,YIR013C,YAL015C,YDR280W,YLR467W,YDR088C,YKL113C,YGR074W,YHL038C,YBR154C,YHR054C,YOR310C,YDR362C,YLR197W,YFR034C,YHR084W,YPL029W,YPR187W,YLR103C,YIL061C,YNL232W,YPR034W,YMR270C,YJL148W,YDL111C,YGL078C,YLR175W,YBR010W,YPR120C,YDL207W,YDR156W,YKR024C,YDR369C,YMR167W,YER112W,YNL030W,YOL021C,YBR060C,YER190W,YBR202W,YOR056C,YHR069C,YNL031C,YIR008C,YDL017W,YNL317W,YDL070W,YDR225W,YDR449C,YOR145C,YDL208W,YGR103W,YGR056W,YBR009C,YDR073W,YMR125W,YLL004W,YDR224C,YCL054W,YNL248C,YCR057C,YNL306W,YMR277W,YCL067C,YOR243C,YGL112C,YOL077C,YPR190C,YDL182W,YDL201W,YER159C,YBL003C,YMR263W,YHR089C,YPR143W,YGL071W,YBR215W,YER070W,YDL074C,YKL156W,YDL013W,YMR285C,YBR278W,YCR106W,YFL023W,YLR401C,YGR005C,YNL082W,YML093W,YJL194W,YNL061W,YLR382C,YOR340C,YMR033W,YMR239C,YER002W,YKL009W,YHR143W-A,YKL082C,YLR147C,YDR299W,YDL014W,YBL035C,YML102W,YNL282W,YCR096C,YOL125W,YDR121W,YOR039W,YNR054C,YDR083W,YOL149W,YPR110C,YOR201C,YOR063W,YNL124W,YBR049C,YCR065W,YDR267C,YCR040W,YML080W,YPL043W,YJR068W,YGR047C,YDR419W,YCL031C,YNR046W,YBL032W,YMR039C,YNL004W,YMR179W,YNL002C,YIL021W,YNL113W,YLR141W,YKL173W,YBL024W,YPR169W,YBR133C,YPL128C,YNL153C,YDR120C,YDR113C,YGR159C,YDR463W,YKL068W,YOL006C,YPL146C,YJR147W,YHR088W,YOL115W,YLR399C,YOR167C,YGL213C,YHR081W,YBR195C,YOL093W,YOL010W,YOR001W,YHR066W,YNL110C,YLR357W,YOR017W,YPL086C,YOR281C,YDR146C,YLR320W,YML121W,YGR128C,YLR200W,YDR365C,YDR167W,YLR321C,YEL032W,YOR004W,YPL204W,YPR137W,YCR092C,YDR194C,YPL082C,YBR055C,YDL031W,YHR205W,YCL055W,YDR045C,YBR153W,YPL183C"
