Gene,Half-life Time Course 1
YAL026C,29.745002858373994
YIL125W,34.38138410467719
YCL009C,19.323917631838473
YMR108W,25.837295407637132
YGL032C,34.30816143071383
YMR261C,40.468748742793736
YBR126C,50.2148994671565
YDR074W,67.3402678577488
YPL074W,43.10693418349213
YLR102C,24.993181401360985
YNL172W,9.685611260121485
YDL008W,222.56907920557808
YBL084C,28.94856254092926
YHR166C,18.07685482564509
YOR249C,23.637632452907457
YFR036W,32.63179894122651
YKL022C,28.753357810411707
YGL240W,99.95864050097008
YER090W,20.405005241206872
YKL211C,19.83983968643191
YPL111W,16.028926167446333
YOR303W,21.55154661498716
YJR109C,37.467621423585484
YPR018W,13.370619322945544
YBR195C,6.599913970104339
YDR080W,27.01485882733308
YDL077C,24.191423142612923
YHR060W,14.580118779681133
YKL119C,14.018400248058267
YML057W,14.973009398474973
YLR433C,15.043769845650456
YIL033C,31.621949997794797
YHR135C,9.780276783225274
YPL204W,16.554348810882928
YOR061W,15.065479032410138
YIL035C,17.05707479873186
YOR039W,11.576019328279354
YGL019W,16.290642285952092
YGR088W,455.5321543876889
YJR064W,12.181076448954677
YJL014W,8.785178387566607
YDR188W,10.170776064475525
YIL142W,15.105378794501014
YDR212W,20.014272434295904
YJL008C,10.249166303703394
YDL143W,34.59041720117934
YAL040C,17.24318333607484
YMR199W,49.05062552597682
YGR108W,25.55508322228746
YPL256C,7.278573823013708
YPR119W,9.541890296996824
YLR210W,20.765005256006102
YPR120C,9.32867137040426
YDL155W,21.892816206663163
YPL031C,39.06965069954345
YDL127W,12.215300276218656
YOL001W,43.094634158114445
YGL134W,24.86167374176251
YDR443C,15.479344064035669
YCR081W,17.39149862417979
YNL025C,35.903520234444194
YPL042C,16.41751161393404
YBR149W,28.056897975201377
YLR284C,70.22083688067403
YDR166C,74.80266806385357
YER008C,101.80555541482742
YGL233W,36.9327247520761
YLR166C,33.04234334891767
YPR055W,257.8483068029711
YIL068C,27.58028955675307
YKL182W,25.26192286010066
YPL231W,22.273343563353805
YOR221C,35.15359421683998
YPL262W,38.12090583541278
YEL003W,15.11272182882334
YNL153C,10.627066074120837
YLR200W,12.504256048879055
YML094W,22.455242708919457
YGR078C,13.897233149976241
YDL090C,28.445432014046293
YGL155W,22.979091263093075
YJL031C,82.72370628795495
YCR034W,11.442313900072913
YGR032W,32.360513813040306
YPR159W,20.252334820545
YAL044C,28.27556501965247
YDR019C,68.86165964813021
YMR189W,18.078059340517157
YGL008C,18.09045407545674
YEL017C-A,24.26310156823582
YPL036W,61.65140564794096
YCR024C-A,23.70833392750385
YLR447C,21.739970064627933
YBR127C,28.26246730583997
YKL080W,21.85606039408919
YEL027W,24.933593997157686
YPR036W,38.69378057626414
